hour,kWh per capita,demand
641,0.666654167,1958763.273
642,0.706879167,2076952.368
643,0.772620833,2270114.532
644,0.809554167,2378632.053
645,0.814445833,2393004.747
646,0.787370833,2313452.982
647,0.723416667,2125542.851
648,0.660504167,1940693.343
649,0.6145375,1805634.083
650,0.585141667,1719263.246
651,0.573808333,1685963.644
652,0.575204167,1690064.883
653,0.5969375,1753921.763
654,0.673029167,1977494.298
655,0.799858333,2350143.754
656,0.8807125,2587709.468
657,0.912929167,2682368.478
658,0.9293125,2730505.988
659,0.926966667,2723613.461
660,0.9169125,2694072.308
661,0.91285,2682135.87
662,0.884904167,2600025.423
663,0.8685875,2552083.793
664,0.8585125,2522481.428
665,0.855466667,2513532.161
666,0.8803625,2586681.098
667,0.929175,2730101.985
668,0.937283333,2753925.889
669,0.919020833,2700267.012
670,0.848358333,2492646.454
671,0.769066667,2259671.681
672,0.704845833,2070978.027
673,0.658875,1935906.525
674,0.6275625,1843904.138
675,0.618320833,1816750.272
676,0.61375,1803320.25
677,0.629204167,1848727.683
678,0.6944125,2040322.808
679,0.812175,2386332.585
680,0.885379167,2601421.068
681,0.911158333,2677165.414
682,0.927133333,2724103.159
683,0.92885,2729147.07
684,0.928433333,2727922.819
685,0.932270833,2739198.162
686,0.902975,2653121.145
687,0.888275,2609929.605
688,0.880425,2586864.735
689,0.880679167,2587611.528
690,0.896758333,2634855.334
691,0.9434875,2772154.973
692,0.9491625,2788829.258
693,0.9279625,2726539.418
694,0.860058333,2527023.394
695,0.778983333,2288808.829
696,0.718766667,2111880.221
697,0.671370833,1972621.782
698,0.637154167,1872086.373
699,0.624329167,1834403.958
700,0.619925,1821463.635
701,0.63475,1865022.45
702,0.6939125,2038853.708
703,0.810695833,2381986.497
704,0.887608333,2607970.804
705,0.9141875,2686065.713
706,0.925895833,2720467.137
707,0.923270833,2712754.362
708,0.914058333,2685686.194
709,0.910604167,2675537.163
710,0.88185,2591051.67
711,0.8706875,2558254.013
712,0.868266667,2551141.121
713,0.874208333,2568598.924
714,0.899754167,2643657.693
715,0.9437375,2772889.523
716,0.954820833,2805454.572
717,0.931958333,2738279.974
718,0.8641125,2538935.348
719,0.785958333,2309302.774
720,0.72085,2118001.47
721,0.6689,1965361.98
722,0.64265,1888234.23
723,0.6280625,1845373.238
724,0.622429167,1828821.378
725,0.637570833,1873310.622
726,0.701529167,2061232.998
727,0.8142,2392282.44
728,0.883804167,2596793.403
729,0.909245833,2671546.107
730,0.920045833,2703278.667
731,0.922341667,2710024.286
732,0.917154167,2694782.373
733,0.912333333,2680617.799
734,0.882529167,2593047.198
735,0.865133333,2541934.759
736,0.859133333,2524305.559
737,0.858183333,2521514.269
738,0.880875,2588186.925
739,0.922120833,2709375.432
740,0.931791667,2737790.276
741,0.909495833,2672280.657
742,0.847120833,2489010.432
743,0.772083333,2268535.249
744,0.718654167,2111549.673
745,0.673379167,1978522.668
746,0.640216667,1881084.611
747,0.6313625,1855069.298
748,0.621925,1827340.035
749,0.631875,1856575.125
750,0.695283333,2042881.489
751,0.802191667,2356999.556
752,0.866420833,2545717.692
753,0.891825,2620360.215
754,0.908241667,2668595.666
755,0.910816667,2676161.531
756,0.902483333,2651676.529
757,0.901595833,2649068.877
758,0.8711,2559466.02
759,0.852191667,2503909.556
760,0.845170833,2483280.942
761,0.838816667,2464611.131
762,0.857275,2518845.405
763,0.902433333,2651529.619
764,0.9045125,2657638.628
765,0.887170833,2606685.342
766,0.833458333,2448867.274
767,0.769195833,2260051.197
768,0.722758333,2123608.534
769,0.67445,1981668.99
770,0.63295,1859733.69
771,0.6117875,1797554.033
772,0.601091667,1766127.536
773,0.602420833,1770032.892
774,0.615483333,1808413.129
775,0.65175,1914971.85
776,0.690145833,2027786.487
777,0.760545833,2234635.767
778,0.817004167,2400521.643
779,0.8315125,2443150.028
780,0.8253875,2425153.553
781,0.819054167,2406544.953
782,0.798670833,2346654.642
783,0.7626875,2240928.413
784,0.744666667,2187979.601
785,0.7359375,2162331.563
786,0.760475,2234427.645
787,0.817929167,2403239.478
788,0.834041667,2450581.226
789,0.831983333,2444533.429
790,0.799479167,2349029.688
791,0.749570833,2202389.022
792,0.694516667,2040628.871
793,0.635016667,1865805.971
794,0.5968,1753517.76
795,0.570545833,1676377.767
796,0.5641125,1657475.348
797,0.566375,1664123.025
798,0.576895833,1695035.337
799,0.599216667,1760618.411
800,0.6109625,1795130.018
801,0.668533333,1964284.639
802,0.7255625,2131847.738
803,0.751933333,2209330.519
804,0.7458625,2191493.198
805,0.747958333,2197651.174
806,0.7465625,2193549.938
807,0.710804167,2088484.803
808,0.690654167,2029280.073
809,0.683116667,2007133.391
810,0.714579167,2099576.508
811,0.792320833,2327997.072
812,0.8350875,2453654.093
813,0.837945833,2462052.447
814,0.8119,2385524.58
815,0.752841667,2211999.386
816,0.682970833,2006704.902
817,0.6330375,1859990.783
818,0.6032875,1772579.333
819,0.594583333,1747004.749
820,0.587391667,1725874.196
821,0.609208333,1789975.924
822,0.682208333,2004464.524
823,0.816225,2398232.295
824,0.902829167,2652692.658
825,0.945058333,2776770.394
826,0.956104167,2809225.263
827,0.952108333,2797484.704
828,0.94155,2766462.21
829,0.927725,2725841.595
830,0.898170833,2639005.542
831,0.883629167,2596279.218
832,0.875391667,2572075.796
833,0.870054167,2556393.153
834,0.887875,2608754.325
835,0.94455,2775276.81
836,0.959770833,2819998.662
837,0.944545833,2775264.567
838,0.871054167,2559331.353
839,0.788891667,2317921.496
840,0.7283,2139891.06
841,0.674833333,1982795.299
842,0.643320833,1890205.272
843,0.6311,1854298.02
844,0.628504167,1846670.943
845,0.643858333,1891784.554
846,0.70715,2077748.13
847,0.824920833,2423782.392
848,0.901929167,2650048.278
849,0.929095833,2729869.377
850,0.937729167,2755235.838
851,0.927533333,2725278.439
852,0.914195833,2686090.197
853,0.905241667,2659781.066
854,0.873508333,2566542.184
855,0.854808333,2511597.844
856,0.84715,2489096.13
857,0.8407375,2470254.923
858,0.857716667,2520143.111
859,0.9241,2715190.62
860,0.943133333,2771114.359
861,0.932425,2739651.135
862,0.861179167,2530316.628
863,0.77945,2290179.99
864,0.7198125,2114953.088
865,0.668666667,1964676.401
866,0.6358375,1868217.743
867,0.624216667,1834073.411
868,0.624266667,1834220.321
869,0.636045833,1868829.867
870,0.70095,2059531.29
871,0.817970833,2403361.902
872,0.8900875,2615255.093
873,0.915466667,2689824.161
874,0.912004167,2679650.643
875,0.9022,2650844.04
876,0.889083333,2612304.649
877,0.882233333,2592177.979
878,0.854975,2512087.545
879,0.837558333,2460913.894
880,0.82865,2434739.43
881,0.822191667,2415763.556
882,0.835570833,2455074.222
883,0.906733333,2664163.879
884,0.928929167,2729379.678
885,0.909679167,2672819.328
886,0.840633333,2469948.859
887,0.76315,2242287.33
888,0.703116667,2065897.391
889,0.6573625,1931462.498
890,0.625620833,1838199.132
891,0.612716667,1800284.111
892,0.611608333,1797027.604
893,0.6269875,1842214.673
894,0.688479167,2022889.488
895,0.802333333,2357415.799
896,0.874916667,2570680.151
897,0.903208333,2653806.724
898,0.911379167,2677814.268
899,0.9009,2647024.38
900,0.888191667,2609684.756
901,0.879129167,2583057.318
902,0.8498625,2497065.998
903,0.834366667,2451536.141
904,0.824904167,2423733.423
905,0.817033333,2400607.339
906,0.831958333,2444459.974
907,0.895683333,2631696.769
908,0.916325,2692346.115
909,0.900995833,2647305.957
910,0.841758333,2473254.334
911,0.765279167,2248543.248
912,0.7088125,2082632.888
913,0.659658333,1938208.114
914,0.6273,1843132.86
915,0.610858333,1794823.954
916,0.6128625,1800712.598
917,0.625808333,1838750.044
918,0.688129167,2021861.118
919,0.804929167,2365042.878
920,0.874804167,2570349.603
921,0.903145833,2653623.087
922,0.907341667,2665951.286
923,0.896341667,2633631.086
924,0.877729167,2578943.838
925,0.869970833,2556148.302
926,0.8394,2466325.08
927,0.816966667,2400411.461
928,0.807691667,2373159.656
929,0.798595833,2346434.277
930,0.8110375,2382990.383
931,0.870745833,2558425.407
932,0.881529167,2590108.998
933,0.87115,2559612.93
934,0.8195625,2408038.538
935,0.753704167,2214533.583
936,0.7075,2078776.5
937,0.659970833,1939126.302
938,0.622825,1829984.415
939,0.6026375,1770669.503
940,0.591295833,1737345.417
941,0.5864,1722960.48
942,0.603541667,1773326.126
943,0.635654167,1867679.073
944,0.674308333,1981252.744
945,0.7472,2195423.04
946,0.7952125,2336493.368
947,0.794525,2334473.355
948,0.7808875,2294403.653
949,0.776404167,2281230.723
950,0.757345833,2225233.527
951,0.724470833,2128640.202
952,0.701916667,2062371.551
953,0.6914875,2031728.573
954,0.714695833,2099919.297
955,0.779166667,2289347.501
956,0.799579167,2349323.508
957,0.802891667,2359056.296
958,0.7724125,2269502.408
959,0.718716667,2111733.311
960,0.667879167,1962362.568
961,0.618445833,1817117.547
962,0.577279167,1696161.648
963,0.558116667,1639858.391
964,0.547016667,1607244.371
965,0.544529167,1599935.598
966,0.552225,1622547.495
967,0.5715625,1679364.938
968,0.588479167,1729069.488
969,0.63745,1872955.59
970,0.693254167,2036919.393
971,0.719041667,2112688.226
